1,ABS,,1,2019-03-14 04:20:05.348195,2019-03-14 04:20:05.348195,abs
2,Air Bags,,1,2019-03-14 04:20:32.289124,2019-03-14 04:20:32.289124,air-bags
3,Air Conditioning,,1,2019-03-14 04:20:47.153361,2019-03-14 04:20:47.153361,air-conditioning
4,Alloy Rims,,1,2019-03-14 04:21:17.213945,2019-03-14 04:21:17.213945,alloy-rims
5,AM/FM Radio,,1,2019-03-14 04:21:36.139317,2019-03-14 04:21:36.139317,radio
6,Keyless Entry,,1,2019-03-14 04:21:52.739908,2019-03-14 04:21:52.740906,keyless-entry
7,Navigation System,,1,2019-03-14 04:22:07.235134,2019-03-14 04:22:07.235134,navigation-system
8,Power Locks,,1,2019-03-14 04:22:21.581754,2019-03-14 04:22:21.581754,power-locks
9,Power Mirrors,,1,2019-03-14 04:22:34.504184,2019-03-14 04:22:34.505182,power-mirrors
10,Power Steering,,1,2019-03-14 04:22:48.008061,2019-03-14 04:22:48.008061,power-steering
11,CD Player,,1,2019-03-14 04:22:59.211093,2019-03-14 04:22:59.211093,cd-player
12,Cassette Player,,1,2019-03-14 04:23:07.666472,2019-03-14 04:23:07.666472,cassette-player
13,Cool Box,,1,2019-03-14 04:23:20.013441,2019-03-14 04:23:20.013441,cool-box
14,Cruise Control,,1,2019-03-14 04:23:36.890293,2019-03-14 04:23:36.890293,cruise-control
15,Climate Control,,1,2019-03-14 04:23:46.218341,2019-03-14 04:23:46.218341,climate-control
16,Power Windows,,1,1552537426218,2019-03-14 04:23:46.218341,power-windows
17,Rear Seat Entertaintment,,1,2019-03-14 04:23:46.218341,2019-03-14 04:23:46.218341,rear-seat-entertainment
18,Rear AC Vents,,1,2019-03-14 04:23:46.218341,2019-03-14 04:23:46.218341,rear-ac-vents
19,Rear Speakers,,1,2019-03-14 04:23:46.218341,2019-03-14 04:23:46.218341,rear-speakers
20,DVD Player,,1,2019-03-14 04:23:46.218341,2019-03-14 04:23:46.218341,dvd-player
21,Front Speakers,,1,2019-03-14 04:23:46.218341,2019-03-14 04:23:46.218341,front-speakers
22,Front Camera,,1,2019-03-14 04:23:46.218341,2019-03-14 04:23:46.218341,front-camera
23,Heated Seats,,1,2019-03-14 04:23:46.218341,2019-03-14 04:23:46.218341,heated-seats
24,Immobilizer Key,,1,2019-03-14 04:23:46.218341,2019-03-14 04:23:46.218341,immobilizer-key
25,Rear Camera,,1,2019-03-14 04:23:46.218341,2019-03-14 04:23:46.218341,rear-camera
26,Sun Roof,,1,2019-03-14 04:23:46.218341,2019-03-14 04:23:46.218341,sun-roof
27,Steering Switches,,1,2019-03-14 04:23:46.218341,2019-03-14 04:23:46.218341,steering-switches
28,USB and Aux Cable,,1,2019-03-14 04:23:46.218341,2019-03-14 04:23:46.218341,aux-cable
